#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
-3.389019,171,4149.213917
-5.178551,151,4159.525762
-3.188495,168,4172.063133
-14.089298,192,4185.977611
-8.736266,156,4196.503008
-1.115835,86,4202.083978
9.412442,13,4204.068477
1.222775,121,4212.668291
-7.081582,116,4242.627541
-4.22129,154,4254.258281
1.87591,112,4261.07074
-0.012633,156,4272.945455
-5.399889,189,4286.619293
-5.15069,173,4299.367287
-5.024876,174,4310.898519
2.067821,106,4318.596446
-1.894275,169,4331.161627
-11.408938,169,4342.411354
-4.933302,121,4351.067039
0.959338,183,4364.426159
14.423981,34,4367.434872
-0.195652,113,4374.302601
-10.567882,184,4387.763487
10.602676,92,4394.858007
-7.074219,185,4406.965336
-0.200239,152,4418.51903
-0.22772,163,4429.461159
10.64775,1,4429.463256
1.629272,141,4440.446406
0.468666,106,4446.93696
-1.197161,104,4454.643217
10.071329,1,4454.645371
12.608949,45,4458.285125
-13.3797,149,4468.444377
-1.279038,113,4476.614285
-6.535161,156,4487.180788
-4.52766,155,4499.010217
-5.344567,118,4506.110424
-4.401234,141,4517.135514
-4.637827,123,4525.840362
-0.359106,163,4536.768113
-2.599843,145,4546.689949
-0.811181,161,4558.71396
-1.221788,146,4568.709143
-9.933424,148,4578.843551
1.032552,80,4585.444921
6.869385,27,4586.753562
2.256109,84,4592.193713
-2.399126,141,4603.139397
-1.527491,122,4611.789864
0.79676,133,4621.113492
-5.541957,138,4630.704249
-0.472695,197,4644.78235
-1.904378,142,4654.476497
-0.358292,130,4663.614394
-6.410635,97,4670.929023
-0.096358,163,4681.888128
-2.920269,114,4690.089363
-5.922655,106,4697.855276
-3.734866,111,4704.633482
2.255761,119,4713.083939
-1.050306,141,4722.758548
6.297474,45,4726.356599
-0.347052,141,4735.996542
-7.49574,149,4747.436515
8.022432,40,4749.457736
1.068078,110,4757.428242
-2.196067,143,4767.259881
-1.708771,147,4778.533948
-0.363349,147,4788.573895
10.878495,1,4788.57601
-6.820777,152,4798.935927
-2.572694,169,4811.538734
10.453072,131,4820.698749
-1.594399,150,4830.896814
-8.354446,140,4840.563662
-7.352834,113,4848.721658
-0.509327,135,4858.14191
5.455757,59,4862.470942
-0.355164,146,4873.793757
-1.46689,108,4880.390904
-1.679589,119,4888.873578
-0.114029,174,4901.700621
0.517321,96,4907.691817
-1.839152,121,4916.336916
0.786209,118,4924.806628
1.679133,100,4932.242402
10.741947,34,4933.987538
-0.017268,147,4985.039193
0.729226,85,4991.857932
0.335594,109,4998.492811
-2.868533,113,5006.699663
-1.014651,106,5014.409477
-3.791079,122,5023.072281
-1.108002,181,5036.329699
